"","Наименование задачи","Достигнутые результаты","Личный вклад и метрики","Ссылка на рабочее пространство","Приобретенные навыки","План улучшений","Оценка взаимодействия (0-10)","Общая удовлетворенность (0-10)","Общий балл"
"Сотрудник 449","Работа над проектом J","Оптимизировал подписку (+2% конверсии)","Запуск без багов","https://example.com/Сотрудник449","Прокачался в автоматизация","Улучшить документацию по документации","7","7","3"
"Сотрудник 450","Работа над проектом L","Закрыл 18 задач из бэклога","SLA соблюдены на 99.6%","https://example.com/Сотрудник450","Прокачался в контейнеризация","Улучшить документацию по документации","7","8","3"
"Сотрудник 451","Работа над проектом F","Закрыл 7 задач из бэклога","Соблюдены сроки всех задач","https://example.com/Сотрудник451","Прокачался в контейнеризация","Улучшить документацию по базам данных","8","6","3"
"Сотрудник 452","Работа над проектом T","Закрыл 14 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник452","Прокачался в оптимизация","Улучшить документацию по документации","8","6","3"
"Сотрудник 453","Работа над проектом F","Снизил количество алертов на 10%","Соблюдены сроки всех задач","https://example.com/Сотрудник453","Прокачался в CI/CD","Улучшить документацию по документации","10","7","3"
"Сотрудник 454","Работа над проектом D","Сократил время обработки на 5%","Достигнуты целевые показатели","https://example.com/Сотрудник454","Прокачался в оптимизация","Улучшить документацию по процессам","9","9","3"
"Сотрудник 455","Работа над проектом U","Закрыл 13 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник455","Прокачался в автоматизация","Улучшить документацию по документации","6","9","3"
"Сотрудник 456","Работа над проектом R","Улучшил производительность на 6%","Обновлена база знаний","https://example.com/Сотрудник456","Прокачался в микросервисы","Улучшить документацию по процессам","7","9","3"
"Сотрудник 457","Работа над проектом R","Улучшил производительность на 10%","Обновлена база знаний","https://example.com/Сотрудник457","Прокачался в оптимизация","Улучшить документацию по документации","7","5","2"
"Сотрудник 458","Работа над проектом P","Закрыл 20 задач из бэклога","SLA соблюдены на 99.3%","https://example.com/Сотрудник458","Прокачался в оптимизация","Улучшить документацию по документации","8","10","3"
"Сотрудник 459","Работа над проектом P","Улучшил производительность на 3%","Запуск без багов","https://example.com/Сотрудник459","Прокачался в автоматизация","Улучшить документацию по API","9","10","3"
"Сотрудник 460","Работа над проектом I","Снизил количество алертов на 2%","Запуск без багов","https://example.com/Сотрудник460","Прокачался в автоматизация","Улучшить документацию по микросервисам","7","6","3"
"Сотрудник 461","Работа над проектом W","Оптимизировал подписку (+4% конверсии)","Обновлена база знаний","https://example.com/Сотрудник461","Прокачался в автоматизация","Улучшить документацию по документации","10","8","3"
"Сотрудник 462","Работа над проектом E","Сократил время обработки на 4%","Обновлена база знаний","https://example.com/Сотрудник462","Прокачался в автоматизация","Улучшить документацию по микросервисам","10","7","3"
"Сотрудник 463","Работа над проектом X","Снизил количество алертов на 2%","SLA соблюдены на 98.8%","https://example.com/Сотрудник463","Прокачался в CI/CD","Улучшить документацию по документации","7","8","3"
"Сотрудник 464","Работа над проектом E","Улучшил производительность на 4%","Соблюдены сроки всех задач","https://example.com/Сотрудник464","Прокачался в контейнеризация","Улучшить документацию по документации","9","8","3"
"Сотрудник 465","Работа над проектом T","Снизил количество алертов на 2%","Соблюдены сроки всех задач","https://example.com/Сотрудник465","Прокачался в CI/CD","Улучшить документацию по микросервисам","7","10","3"
"Сотрудник 466","Работа над проектом V","Оптимизировал подписку (+5% конверсии)","Обновлена база знаний","https://example.com/Сотрудник466","Прокачался в автоматизация","Улучшить документацию по процессам","9","7","3"
"Сотрудник 467","Работа над проектом P","Сократил время обработки на 15%","Достигнуты целевые показатели","https://example.com/Сотрудник467","Прокачался в контейнеризация","Улучшить документацию по микросервисам","6","8","3"
"Сотрудник 468","Работа над проектом O","Сократил время обработки на 6%","Запуск без багов","https://example.com/Сотрудник468","Прокачался в контейнеризация","Улучшить документацию по процессам","7","7","3"
"Сотрудник 469","Работа над проектом T","Снизил количество алертов на 9%","Запуск без багов","https://example.com/Сотрудник469","Прокачался в оптимизация","Улучшить документацию по документации","10","10","3"
"Сотрудник 470","Работа над проектом S","Закрыл 20 задач из бэклога","Запуск без багов","https://example.com/Сотрудник470","Прокачался в DevOps","Улучшить документацию по микросервисам","6","9","3"
"Сотрудник 471","Работа над проектом H","Сократил время обработки на 12%","SLA соблюдены на 99.0%","https://example.com/Сотрудник471","Прокачался в микросервисы","Улучшить документацию по базам данных","6","7","3"
"Сотрудник 472","Работа над проектом J","Оптимизировал подписку (+1% конверсии)","Достигнуты целевые показатели","https://example.com/Сотрудник472","Прокачался в контейнеризация","Улучшить документацию по базам данных","6","5","2"
"Сотрудник 473","Работа над проектом Q","Сократил время обработки на 12%","Запуск без багов","https://example.com/Сотрудник473","Прокачался в контейнеризация","Улучшить документацию по процессам","5","8","3"
"Сотрудник 474","Работа над проектом S","Снизил количество алертов на 2%","Достигнуты целевые показатели","https://example.com/Сотрудник474","Прокачался в оптимизация","Улучшить документацию по базам данных","5","9","3"
"Сотрудник 475","Работа над проектом Q","Снизил количество алертов на 1%","Достигнуты целевые показатели","https://example.com/Сотрудник475","Прокачался в CI/CD","Улучшить документацию по базам данных","10","9","3"
"Сотрудник 476","Работа над проектом H","Оптимизировал подписку (+3% конверсии)","Соблюдены сроки всех задач","https://example.com/Сотрудник476","Прокачался в автоматизация","Улучшить документацию по API","9","7","3"
"Сотрудник 477","Работа над проектом E","Улучшил производительность на 8%","SLA соблюдены на 99.2%","https://example.com/Сотрудник477","Прокачался в микросервисы","Улучшить документацию по API","10","6","3"
"Сотрудник 478","Работа над проектом U","Снизил количество алертов на 1%","Соблюдены сроки всех задач","https://example.com/Сотрудник478","Прокачался в контейнеризация","Улучшить документацию по микросервисам","7","6","3"
"Сотрудник 479","Работа над проектом S","Закрыл 7 задач из бэклога","Достигнуты целевые показатели","https://example.com/Сотрудник479","Прокачался в DevOps","Улучшить документацию по API","6","6","2"
"Сотрудник 480","Работа над проектом Z","Снизил количество алертов на 8%","Достигнуты целевые показатели","https://example.com/Сотрудник480","Прокачался в микросервисы","Улучшить документацию по API","8","6","3"
"Сотрудник 481","Работа над проектом D","Снизил количество алертов на 5%","Запуск без багов","https://example.com/Сотрудник481","Прокачался в оптимизация","Улучшить документацию по API","6","6","2"
"Сотрудник 482","Работа над проектом V","Сократил время обработки на 4%","Достигнуты целевые показатели","https://example.com/Сотрудник482","Прокачался в DevOps","Улучшить документацию по документации","6","6","2"
"Сотрудник 483","Работа над проектом X","Закрыл 13 задач из бэклога","Запуск без багов","https://example.com/Сотрудник483","Прокачался в оптимизация","Улучшить документацию по процессам","7","7","3"
"Сотрудник 484","Работа над проектом Q","Закрыл 16 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник484","Прокачался в CI/CD","Улучшить документацию по базам данных","8","6","3"
"Сотрудник 485","Работа над проектом A","Сократил время обработки на 13%","Соблюдены сроки всех задач","https://example.com/Сотрудник485","Прокачался в оптимизация","Улучшить документацию по процессам","10","9","3"
"Сотрудник 486","Работа над проектом Y","Сократил время обработки на 8%","Обновлена база знаний","https://example.com/Сотрудник486","Прокачался в оптимизация","Улучшить документацию по микросервисам","7","9","3"
"Сотрудник 487","Работа над проектом L","Улучшил производительность на 7%","Обновлена база знаний","https://example.com/Сотрудник487","Прокачался в оптимизация","Улучшить документацию по микросервисам","6","5","2"
"Сотрудник 488","Работа над проектом P","Улучшил производительность на 7%","Обновлена база знаний","https://example.com/Сотрудник488","Прокачался в оптимизация","Улучшить документацию по микросервисам","7","8","3"
"Сотрудник 489","Работа над проектом O","Снизил количество алертов на 3%","Достигнуты целевые показатели","https://example.com/Сотрудник489","Прокачался в контейнеризация","Улучшить документацию по базам данных","7","9","3"
"Сотрудник 490","Работа над проектом N","Улучшил производительность на 3%","Соблюдены сроки всех задач","https://example.com/Сотрудник490","Прокачался в оптимизация","Улучшить документацию по документации","8","7","3"
"Сотрудник 491","Работа над проектом J","Снизил количество алертов на 3%","Соблюдены сроки всех задач","https://example.com/Сотрудник491","Прокачался в контейнеризация","Улучшить документацию по базам данных","8","10","3"
"Сотрудник 492","Работа над проектом C","Улучшил производительность на 8%","Соблюдены сроки всех задач","https://example.com/Сотрудник492","Прокачался в микросервисы","Улучшить документацию по базам данных","9","9","3"
"Сотрудник 493","Работа над проектом J","Улучшил производительность на 5%","Достигнуты целевые показатели","https://example.com/Сотрудник493","Прокачался в автоматизация","Улучшить документацию по базам данных","5","5","2"
"Сотрудник 494","Работа над проектом Q","Сократил время обработки на 7%","Достигнуты целевые показатели","https://example.com/Сотрудник494","Прокачался в оптимизация","Улучшить документацию по процессам","9","10","3"
"Сотрудник 495","Работа над проектом G","Снизил количество алертов на 5%","Достигнуты целевые показатели","https://example.com/Сотрудник495","Прокачался в контейнеризация","Улучшить документацию по базам данных","10","9","3"
"Сотрудник 496","Работа над проектом C","Оптимизировал подписку (+3% конверсии)","Запуск без багов","https://example.com/Сотрудник496","Прокачался в CI/CD","Улучшить документацию по API","8","7","3"
"Сотрудник 497","Работа над проектом E","Улучшил производительность на 6%","Запуск без багов","https://example.com/Сотрудник497","Прокачался в микросервисы","Улучшить документацию по базам данных","6","8","3"
"Сотрудник 498","Работа над проектом Z","Снизил количество алертов на 8%","Обновлена база знаний","https://example.com/Сотрудник498","Прокачался в контейнеризация","Улучшить документацию по процессам","9","7","3"
"Сотрудник 499","Работа над проектом B","Оптимизировал подписку (+4% конверсии)","SLA соблюдены на 99.5%","https://example.com/Сотрудник499","Прокачался в контейнеризация","Улучшить документацию по базам данных","7","8","3"
"Сотрудник 500","Работа над проектом L","Сократил время обработки на 6%","Достигнуты целевые показатели","https://example.com/Сотрудник500","Прокачался в DevOps","Улучшить документацию по документации","9","7","3"
